First,Last,StudentID,Grade,ScanTime,Status
Edelmira,Calzado,1833320,9,1/24/2022 7:34,Present on time
Blythe,Czaplinski,5577385,11,1/24/2022 7:34,Present on time
Karrie,Kinikini,4542626,11,1/24/2022 7:34,Present on time
Jaime,Lowrance,8245273,12,1/24/2022 7:34,Present on time
Annice,Peckens,8544776,9,1/24/2022 7:34,Present on time
Wayne,Shivers,4552275,9,1/24/2022 7:34,Present on time
Lucy,Treston,3841766,10,1/24/2022 7:34,Present on time
Thaddeus,Ankeny,6142715,11,1/24/2022 7:35,Present on time
Thora,Daneker,4720231,11,1/24/2022 7:35,Present on time
Daron,Dinos,4462217,12,1/24/2022 7:35,Present on time
Kenneth,Drizin,41158,11,1/24/2022 7:35,Present on time
Salena,Karpel,3463378,9,1/24/2022 7:35,Present on time
Queenie,Kramarczyk,5542632,9,1/24/2022 7:35,Present on time
Alison,Mahlum,8480202,10,1/24/2022 7:35,Present on time
Stephanie,Rolling,8477432,9,1/24/2022 7:35,Present on time
Estrella,Samu,7745064,12,1/24/2022 7:35,Present on time
Kaycee,Alaibilla,1042184,9,1/24/2022 7:36,Present on time
Janae,Mair,3273412,12,1/24/2022 7:36,Present on time
Paris,Bellis,7030014,10,1/24/2022 7:37,Present on time
Judy,Boerboom,6641154,11,1/24/2022 7:37,Present on time
Brittni,Gillaspie,2772578,11,1/24/2022 7:37,Present on time
Clay,Hoa,522651,9,1/24/2022 7:37,Present on time
Silva,Riviere,4644552,11,1/24/2022 7:37,Present on time
Staci,Schmaltz,4528216,10,1/24/2022 7:37,Present on time
Irma,Wolfgramm,166462,9,1/24/2022 7:37,Present on time
Verlene,Billow,4353663,10,1/24/2022 7:38,Present on time
France,Buzick,2135224,9,1/24/2022 7:38,Present on time
Fletcher,Flosi,277725,9,1/24/2022 7:38,Present on time
Dell,Polino,7121726,9,1/24/2022 7:38,Present on time
Jimmie,Snelling,4811256,10,1/24/2022 7:38,Present on time
Leslie,Threets,3237441,9,1/24/2022 7:38,Present on time
Melissa,Wiklund,1706280,9,1/24/2022 7:38,Present on time
Tawny,Bonventre,3124328,11,1/24/2022 7:39,Present on time
Hortencia,Bresser,3584562,11,1/24/2022 7:39,Present on time
Dorothy,Chesterfield,8446376,9,1/24/2022 7:39,Present on time
Rosio,Cork,1733214,10,1/24/2022 7:39,Present on time
Devon,Delacerda,3434526,10,1/24/2022 7:39,Present on time
Verona,Jobst,1474258,12,1/24/2022 7:39,Present on time
Kassandra,Marushia,7757614,11,1/24/2022 7:39,Present on time
Marti,Maybury,3543677,12,1/24/2022 7:39,Present on time
Darell,Mcalarney,1362256,10,1/24/2022 7:39,Present on time
Chauncey,Motley,751544,9,1/24/2022 7:39,Present on time
Denise,Patak,8130457,12,1/24/2022 7:39,Present on time
Marquetta,Quinlisk,2806485,9,1/24/2022 7:39,Present on time
Quentin,Birkner,7571665,9,1/24/2022 7:40,Present on time
Wenona,Braseth,5412527,9,1/24/2022 7:40,Present on time
Jess,Chaffins,6403174,9,1/24/2022 7:40,Present on time
Tamera,Crocker,347631,9,1/24/2022 7:40,Present on time
Mabel,Elmquist,7112208,10,1/24/2022 7:40,Present on time
Bernardo,Figeroa,7224623,9,1/24/2022 7:40,Present on time
Lorriane,Naddeo,7704112,9,1/24/2022 7:40,Present on time
Bobbye,Rhym,7326654,9,1/24/2022 7:40,Present on time
Gladys,Rim,8278371,9,1/24/2022 7:40,Present on time
Kasandra,Semidey,8144686,9,1/24/2022 7:40,Present on time
Kenia,Sharples,2457348,9,1/24/2022 7:40,Present on time
Odette,Thigpen,5366787,11,1/24/2022 7:40,Present on time
Hildegarde,Wehrwein,3526715,9,1/24/2022 7:40,Present on time
Cherelle,Welschmeyer,1780707,10,1/24/2022 7:40,Present on time
Delmy,Ahle,562453,11,1/24/2022 7:41,Present on time
Carlee,Boulter,1241536,10,1/24/2022 7:41,Present on time
Emerson,Bowley,3625453,9,1/24/2022 7:41,Present on time
Karina,Cortesi,7514732,11,1/24/2022 7:41,Present on time
Leota,Dilliard,6738564,9,1/24/2022 7:41,Present on time
Kindra,Dishong,4645751,12,1/24/2022 7:41,Present on time
Hannah,Edmison,4274720,9,1/24/2022 7:41,Present on time
Bong,Fears,1784332,10,1/24/2022 7:41,Present on time
Anissa,Frayer,7000836,10,1/24/2022 7:41,Present on time
Ruthann,Keener,1721422,9,1/24/2022 7:41,Present on time
Sanda,Laramie,133617,10,1/24/2022 7:41,Present on time
Sharee,Maile,5462551,12,1/24/2022 7:41,Present on time
Reyes,Mesmer,5245277,9,1/24/2022 7:41,Present on time
Jerilyn,Norcia,8351554,9,1/24/2022 7:41,Present on time
Ashlyn,Pinilla,2256478,11,1/24/2022 7:41,Present on time
Judy,Aquas,5454462,10,1/24/2022 7:42,Present on time
Louvenia,Beech,1731103,9,1/24/2022 7:42,Present on time
Asuncion,Berson,8254563,12,1/24/2022 7:42,Present on time
Diane,Devreese,6245601,11,1/24/2022 7:42,Present on time
Roselle,Estell,1177373,11,1/24/2022 7:42,Present on time
Carla,Kallenberger,6140864,11,1/24/2022 7:42,Present on time
Raylene,Kampa,6631673,9,1/24/2022 7:42,Present on time
Carlene,Kana,2647874,12,1/24/2022 7:42,Present on time
Celeste,Korando,6282077,11,1/24/2022 7:42,Present on time
Willow,Kusko,1646310,10,1/24/2022 7:42,Present on time
Chauncey,Mcelreath,1311127,12,1/24/2022 7:42,Present on time
Brinda,Mrkvicka,5165341,9,1/24/2022 7:42,Present on time
Krissy,Rauser,5243777,10,1/24/2022 7:42,Present on time
Benedict,Sama,1743425,11,1/24/2022 7:42,Present on time
Mitsue,Scipione,5331153,11,1/24/2022 7:42,Present on time
Bernadine,Shufelt,6642445,12,1/24/2022 7:42,Present on time
Lizette,Stem,151773,10,1/24/2022 7:42,Present on time
King,Suman,3524751,9,1/24/2022 7:42,Present on time
Quentin,Swayze,1215244,11,1/24/2022 7:42,Present on time
Annelle,Tagala,160033,12,1/24/2022 7:42,Present on time
Lon,Tibbles,5554657,10,1/24/2022 7:42,Present on time
Carma,Vanheusen,7412406,10,1/24/2022 7:42,Present on time
Apolonia,Warne,2776045,9,1/24/2022 7:42,Present on time
Stevie,Westerbeck,4354813,10,1/24/2022 7:42,Present on time
Willetta,Cesa,4687546,11,1/24/2022 7:43,Present on time
Cyril,Daufeldt,4320173,10,1/24/2022 7:43,Present on time
Merlyn,Lawler,2482208,9,1/24/2022 7:43,Present on time
Reena,Maisto,7234513,10,1/24/2022 7:43,Present on time
Elli,Mclaird,8682011,10,1/24/2022 7:43,Present on time
Laticia,Merced,1251016,12,1/24/2022 7:43,Present on time
Rikki,Montalgo,3771785,10,1/24/2022 7:43,Present on time
Alishia,Sergi,322545,9,1/24/2022 7:43,Present on time
Twila,Shadle,5545374,10,1/24/2022 7:43,Present on time
Joanne,Teoh,1124147,9,1/24/2022 7:43,Present on time
Sheridan,Zane,4667437,10,1/24/2022 7:43,Present on time
Winfred,Brucato,3334157,11,1/24/2022 7:44,Present on time
Kenneth,Degennaro,2404323,9,1/24/2022 7:44,Present on time
Freeman,Gochal,4065153,9,1/24/2022 7:44,Present on time
Suzi,Groom,4638441,9,1/24/2022 7:44,Present on time
Thea,Petermeier,7364676,10,1/24/2022 7:44,Present on time
Jenelle,Regusters,5623135,11,1/24/2022 7:44,Present on time
Bo,Sabota,1257563,9,1/24/2022 7:44,Present on time
Whitley,Tomasulo,6464435,10,1/24/2022 7:44,Present on time
Josphine,Villanueva,5170528,9,1/24/2022 7:44,Present on time
Janna,Bastain,8555356,11,1/24/2022 7:45,Present on time
Mariann,Bilden,7618425,9,1/24/2022 7:45,Present on time
Kate,Keneipp,3451621,10,1/24/2022 7:45,Present on time
Huey,Marcille,6178054,9,1/24/2022 7:45,Present on time
Dominga,Mckeon,6342362,9,1/24/2022 7:45,Present on time
Vallie,Mondella,5322366,11,1/24/2022 7:45,Present on time
Pearline,Provenzano,5244440,11,1/24/2022 7:45,Present on time
Elke,Sengbusch,1116450,12,1/24/2022 7:45,Present on time
Ceola,Setter,370658,12,1/24/2022 7:45,Present on time
Frank,Tryninewski,73257,9,1/24/2022 7:45,Present on time
Tuyet,Abramovitz,4273214,10,1/24/2022 7:46,Present on time
Nickie,Balonek,6110252,12,1/24/2022 7:46,Present on time
Elvera,Benimadho,734231,10,1/24/2022 7:46,Present on time
Erin,Delbosque,2138534,11,1/24/2022 7:46,Present on time
Willodean,Konopacki,2763625,9,1/24/2022 7:46,Present on time
Zoila,Lannigan,6170652,12,1/24/2022 7:46,Present on time
Becky,Mirafuentes,7503676,11,1/24/2022 7:46,Present on time
Glendora,Pezley,7644317,10,1/24/2022 7:46,Present on time
Sylvie,Ryser,1312263,12,1/24/2022 7:46,Present on time
Lindsey,Arnoldi,248231,9,1/24/2022 7:47,Present on time
Sharen,Bourbon,5386535,10,1/24/2022 7:47,Present on time
Carey,Dopico,6226406,9,1/24/2022 7:47,Present on time
Felix,Hirpara,7340555,11,1/24/2022 7:47,Present on time
Buck,Kotow,5762477,11,1/24/2022 7:47,Present on time
Georgene,Montezuma,774043,11,1/24/2022 7:47,Present on time
Rickie,Plumer,523441,9,1/24/2022 7:47,Present on time
Mindy,Presnal,3766766,9,1/24/2022 7:47,Present on time
Theodora,Restrepo,2563401,9,1/24/2022 7:47,Present on time
Dalene,Schoeneck,1443633,11,1/24/2022 7:47,Present on time
Leanna,Tijerina,2382843,11,1/24/2022 7:47,Present on time
Laurena,Begin,2712617,10,1/24/2022 7:48,Present on time
Brock,Bolognia,1507751,12,1/24/2022 7:48,Present on time
Roosevelt,Hoffis,3343571,11,1/24/2022 7:48,Present on time
Lera,Hua,6767243,10,1/24/2022 7:48,Present on time
Tawanna,Kuamoo,6444274,9,1/24/2022 7:48,Present on time
Sheron,Louissant,7352112,10,1/24/2022 7:48,Present on time
Georgeanna,Marrano,2641232,9,1/24/2022 7:48,Present on time
Nu,Mcnease,2034216,10,1/24/2022 7:48,Present on time
Rosalind,Persechino,2341746,10,1/24/2022 7:48,Present on time
My,Rantanen,1612641,9,1/24/2022 7:48,Present on time
Ellsworth,Rieg,3764564,9,1/24/2022 7:48,Present on time
Beata,Rubarts,1053842,10,1/24/2022 7:48,Present on time
Gayla,Schnitzler,4423275,9,1/24/2022 7:48,Present on time
Colby,Scotts,5437214,9,1/24/2022 7:48,Present on time
Benton,Skursky,3287583,12,1/24/2022 7:48,Present on time
Peggie,Sturiale,2232200,11,1/24/2022 7:48,Present on time
Leonor,Beilinson,2067651,10,1/24/2022 7:49,Present on time
Joni,Breland,6615732,9,1/24/2022 7:49,Present on time
Stephen,Emigh,420463,10,1/24/2022 7:49,Present on time
Karl,Klonowski,7706875,9,1/24/2022 7:49,Present on time
Kayleigh,Lace,3343242,9,1/24/2022 7:49,Present on time
Madonna,Landman,3366271,10,1/24/2022 7:49,Present on time
Rosendo,Lanter,2381165,12,1/24/2022 7:49,Present on time
Meghann,Mamudoski,270241,9,1/24/2022 7:49,Present on time
Thurman,Manno,2774236,12,1/24/2022 7:49,Present on time
Gracia,Melnyk,2785186,10,1/24/2022 7:49,Present on time
Gary,Nunlee,5534145,12,1/24/2022 7:49,Present on time
Tammy,Sams,1623217,9,1/24/2022 7:49,Present on time
Andra,Scheyer,3466634,9,1/24/2022 7:49,Present on time
Shalon,Shadrick,672351,10,1/24/2022 7:49,Present on time
Nana,Wrinkles,7750264,11,1/24/2022 7:49,Present on time
Maynard,Zufall,2617725,9,1/24/2022 7:49,Present on time
Novella,Degroot,235854,11,1/24/2022 7:50,Present on time
Ellen,Fajen,6164726,11,1/24/2022 7:50,Present on time
Helga,Fredicks,7581040,12,1/24/2022 7:50,Present on time
Kaitlyn,Ogg,2102170,9,1/24/2022 7:50,Present on time
Van,Shire,2246323,10,1/24/2022 7:50,Present on time
Caprice,Suell,4351522,12,1/24/2022 7:50,Present on time
Viva,Toelkes,5177702,10,1/24/2022 7:50,Present on time
Jina,Briddick,1743174,10,1/24/2022 7:51,Present on time
Effie,Frymark,6073772,11,1/24/2022 7:51,Present on time
Macy,Massay,8157648,10,1/24/2022 7:51,Present on time
Rozella,Ostrosky,2565811,10,1/24/2022 7:51,Present on time
Kati,Rulapaugh,3436152,11,1/24/2022 7:51,Present on time
Hillary,Skulski,1132227,10,1/24/2022 7:51,Present on time
Tiffiny,Steffensmeier,325773,9,1/24/2022 7:51,Present on time
Annmarie,Castros,5675822,12,1/24/2022 7:52,Present on time
Ammie,Corrio,7708510,11,1/24/2022 7:52,Present on time
Izetta,Funnell,8042533,11,1/24/2022 7:52,Present on time
Mable,Goerke,7627000,9,1/24/2022 7:52,Present on time
Samira,Heintzman,7527614,12,1/24/2022 7:52,Present on time
Eura,Mcglocklin,6715476,10,1/24/2022 7:52,Present on time
Clemencia,Momplaisir,5670521,10,1/24/2022 7:52,Present on time
Truman,Mondale,6715522,11,1/24/2022 7:52,Present on time
Callie,Neikirk,5404841,10,1/24/2022 7:52,Present on time
Desirae,Oien,2667707,9,1/24/2022 7:52,Present on time
Willis,Wylie,3442570,10,1/24/2022 7:52,Present on time
Matthew,Armacost,3702422,11,1/24/2022 7:53,Present on time
Bulah,Berkoff,1227544,9,1/24/2022 7:53,Present on time
Viola,Bitsuie,4032632,9,1/24/2022 7:53,Present on time
Ronny,Caiafa,8050444,9,1/24/2022 7:53,Present on time
Yvette,Capiga,7221575,12,1/24/2022 7:53,Present on time
Roslyn,Chavous,3315842,9,1/24/2022 7:53,Present on time
Mammie,Cisney,1164426,10,1/24/2022 7:53,Present on time
Delisa,Crupi,230322,10,1/24/2022 7:53,Present on time
An,Fritz,3646754,10,1/24/2022 7:53,Present on time
Loreen,Griepentrog,8704814,12,1/24/2022 7:53,Present on time
Elena,Hairr,1820332,11,1/24/2022 7:53,Present on time
Lettie,Isenhower,5728018,9,1/24/2022 7:53,Present on time
Tayna,Keirnan,3635364,10,1/24/2022 7:53,Present on time
Wilson,Nickelson,2244076,10,1/24/2022 7:53,Present on time
Nieves,Planty,3831717,10,1/24/2022 7:53,Present on time
Felicidad,Poullion,751057,9,1/24/2022 7:53,Present on time
Freeman,Rudig,5480146,10,1/24/2022 7:53,Present on time
Vanda,Tentler,6036141,12,1/24/2022 7:53,Present on time
Hubert,Walthall,1387560,12,1/24/2022 7:53,Present on time
Lonny,Weglarz,7837214,11,1/24/2022 7:53,Present on time
Tonette,Wenner,5872136,12,1/24/2022 7:53,Present on time
Shakira,Westervelt,6308488,10,1/24/2022 7:53,Present on time
Felton,Yafuso,771460,9,1/24/2022 7:53,Present on time
Gaynell,Benavente,7105736,9,1/24/2022 7:54,Present on time
Maxima,Brzozowski,8841710,10,1/24/2022 7:54,Present on time
Caren,Doscher,4733533,10,1/24/2022 7:54,Present on time
Miss,Dunning,6056457,10,1/24/2022 7:54,Present on time
Rutha,Eisert,1842627,11,1/24/2022 7:54,Present on time
Gregg,Epperheimer,370412,10,1/24/2022 7:54,Present on time
Jules,Erichsen,6252075,11,1/24/2022 7:54,Present on time
Aja,Gehrett,427773,12,1/24/2022 7:54,Present on time
Rene,Granier,4262763,11,1/24/2022 7:54,Present on time
Jillian,Hailstone,5352563,10,1/24/2022 7:54,Present on time
Marleen,Hennon,3437724,10,1/24/2022 7:54,Present on time
Marguerita,Hiatt,5467567,11,1/24/2022 7:54,Present on time
Colette,Kardas,5626341,9,1/24/2022 7:54,Present on time
Brendan,Kasperek,2537651,10,1/24/2022 7:54,Present on time
Shawnee,Kesten,1145323,9,1/24/2022 7:54,Present on time
Deonna,Kippley,7843014,12,1/24/2022 7:54,Present on time
Melodie,Knipp,8026857,9,1/24/2022 7:54,Present on time
Adell,Lipkin,5252255,9,1/24/2022 7:54,Present on time
Valene,Madson,7186767,11,1/24/2022 7:54,Present on time
Vincent,Meinerding,2767776,12,1/24/2022 7:54,Present on time
Belen,Nelton,2086406,12,1/24/2022 7:54,Present on time
Adelle,Nitcher,6708345,12,1/24/2022 7:54,Present on time
Iluminada,Ohms,2320264,9,1/24/2022 7:54,Present on time
Marnie,Purslow,3156540,11,1/24/2022 7:54,Present on time
Stanton,Rigazio,166487,9,1/24/2022 7:54,Present on time
Brice,Rowe,2818732,10,1/24/2022 7:54,Present on time
Ruby,Sensibaugh,4175146,12,1/24/2022 7:54,Present on time
Amber,Windell,7804554,9,1/24/2022 7:54,Present on time
Davida,Zeng,7014851,10,1/24/2022 7:54,Present on time
Fausto,Agramonte,3762235,12,1/24/2022 7:55,Present on time
Ocie,Chreene,5575642,9,1/24/2022 7:55,Present on time
Ezekiel,Chui,2375705,11,1/24/2022 7:55,Present on time
William,Cilento,2737288,12,1/24/2022 7:55,Present on time
An,Dosal,3512115,10,1/24/2022 7:55,Present on time
Tiera,Frankel,1256751,10,1/24/2022 7:55,Present on time
Rebecka,Gesick,5156147,10,1/24/2022 7:55,Present on time
Lang,Heuring,6217162,10,1/24/2022 7:55,Present on time
Cecily,Hollack,8461172,9,1/24/2022 7:55,Present on time
Mitzie,Hudnall,2145413,10,1/24/2022 7:55,Present on time
Garry,Keetch,4324407,9,1/24/2022 7:55,Present on time
Arlene,Klusman,467715,9,1/24/2022 7:55,Present on time
Noe,Kotz,6822142,10,1/24/2022 7:55,Present on time
Cherry,Lietz,7217588,11,1/24/2022 7:55,Present on time
Lashaunda,Lizama,8232267,10,1/24/2022 7:55,Present on time
Yaeko,Orndoff,2332431,10,1/24/2022 7:55,Present on time
Jolene,Ostolaza,8826224,10,1/24/2022 7:55,Present on time
Esteban,Plantenberg,2632371,9,1/24/2022 7:55,Present on time
Lacresha,Quinones,4725726,10,1/24/2022 7:55,Present on time
Margo,Rand,2773440,10,1/24/2022 7:55,Present on time
Sherita,Saras,6463087,9,1/24/2022 7:55,Present on time
Glendora,Sarbacher,201145,9,1/24/2022 7:55,Present on time
Hassie,Sarkin,6432518,9,1/24/2022 7:55,Present on time
Marcelle,Staie,6245138,10,1/24/2022 7:55,Present on time
Miriam,Stakes,6726488,10,1/24/2022 7:55,Present on time
Carmen,Sweigard,4144717,10,1/24/2022 7:55,Present on time
Elvis,Tenuta,4837837,11,1/24/2022 7:55,Present on time
Kallie,Blackwood,3717304,10,1/24/2022 7:56,Present on time
Sarah,Candlish,5535270,11,1/24/2022 7:56,Present on time
Cyndy,Goldammer,5731113,11,1/24/2022 7:56,Present on time
Elouise,Gwalthney,170118,10,1/24/2022 7:56,Present on time
Jolanda,Hanafan,1036410,9,1/24/2022 7:56,Present on time
Trevor,Harnist,363856,11,1/24/2022 7:56,Present on time
Latonia,Helander,7451655,11,1/24/2022 7:56,Present on time
Carmelina,Lindall,5662327,10,1/24/2022 7:56,Present on time
Broderick,Lorenz,8727030,9,1/24/2022 7:56,Present on time
Margart,Meisel,5424263,9,1/24/2022 7:56,Present on time
Erick,Nievas,4675635,10,1/24/2022 7:56,Present on time
Long,Shintaku,237515,12,1/24/2022 7:56,Present on time
Carry,Ziller,7274114,10,1/24/2022 7:56,Present on time
Scarlet,Cartan,8472224,11,1/24/2022 7:57,Present on time
Denae,Eggers,5470364,11,1/24/2022 7:57,Present on time
Mabel,Fower,4743576,11,1/24/2022 7:57,Present on time
Brandon,Geigel,4811677,10,1/24/2022 7:57,Present on time
Reita,Leto,8156446,11,1/24/2022 7:57,Present on time
Lavelle,Lillywhite,2422074,11,1/24/2022 7:57,Present on time
Luann,Michon,7844423,11,1/24/2022 7:57,Present on time
Simona,Morasca,5123202,11,1/24/2022 7:57,Present on time
Lauryn,Randol,5536817,11,1/24/2022 7:57,Present on time
Hollis,Stanfield,3361127,11,1/24/2022 7:57,Present on time
Lashawnda,Stuer,2307383,9,1/24/2022 7:57,Present on time
Johnathon,Wadden,3433772,10,1/24/2022 7:57,Present on time
Shawnda,Yori,8437515,10,1/24/2022 7:57,Present on time
Alana,Blackmon,5623681,9,1/24/2022 7:58,Present on time
Keneth,Borgman,4546776,9,1/24/2022 7:58,Present on time
Adela,Echegoyen,3246307,10,1/24/2022 7:58,Present on time
Refugia,Jacobos,6572312,12,1/24/2022 7:58,Present on time
Lorean,Martabano,7156015,9,1/24/2022 7:58,Present on time
Edna,Miceli,4436373,9,1/24/2022 7:58,Present on time
Percy,Neelon,8573861,10,1/24/2022 7:58,Present on time
Crissy,Pacholec,7507023,10,1/24/2022 7:58,Present on time
Shawna,Palaspas,3434434,12,1/24/2022 7:58,Present on time
Jin,Perry,7341513,11,1/24/2022 7:58,Present on time
Kimbery,Plikerd,5075222,10,1/24/2022 7:58,Present on time
Cristal,Samara,6520711,9,1/24/2022 7:58,Present on time
Arlette,Torchio,6101203,11,1/24/2022 7:58,Present on time
Krystal,Twyman,1684733,11,1/24/2022 7:58,Present on time
Antonio,Unruh,361451,12,1/24/2022 7:58,Present on time
Yuki,Whobrey,5214167,11,1/24/2022 7:58,Present on time
Maurine,Yglesias,3545632,10,1/24/2022 7:58,Present on time
Louis,Zarling,1264536,11,1/24/2022 7:58,Present on time
Denny,Amazan,2260826,10,1/24/2022 7:59,Present on time
Tasia,Andreason,3110728,11,1/24/2022 7:59,Present on time
Shawnna,Arredondo,4262628,11,1/24/2022 7:59,Present on time
Carissa,Batman,2626271,9,1/24/2022 7:59,Present on time
Valentin,Billa,6172574,12,1/24/2022 7:59,Present on time
Chu,Collopy,6318457,9,1/24/2022 7:59,Present on time
Catarina,Gleich,2708665,11,1/24/2022 7:59,Present on time
Larae,Gudroe,5863218,12,1/24/2022 7:59,Present on time
Corazon,Ivaska,7721062,11,1/24/2022 7:59,Present on time
Eladia,Saulter,1506441,12,1/24/2022 7:59,Present on time
Florencia,Stadel,511120,12,1/24/2022 7:59,Present on time
Hermila,Thyberg,4716256,10,1/24/2022 7:59,Present on time
Tammara,Wardrip,6847451,9,1/24/2022 7:59,Present on time
Jutta,Amyot,4514211,12,1/24/2022 8:00,Present on time
Aleisha,Areizaga,2625514,10,1/24/2022 8:00,Present on time
Lonna,Diestel,661138,10,1/24/2022 8:00,Present on time
Christiane,Eschberger,6767650,11,1/24/2022 8:00,Present on time
Joaquin,Geitner,6378751,12,1/24/2022 8:00,Present on time
Elfrieda,Hinsch,646551,9,1/24/2022 8:00,Present on time
Providencia,Marien,7305431,10,1/24/2022 8:00,Present on time
Chi,Morgan,5445674,12,1/24/2022 8:00,Present on time
Vivan,Oppy,4640404,11,1/24/2022 8:00,Present on time
Leota,Ragel,6522230,10,1/24/2022 8:00,Present on time
Lelia,Thiemann,2623576,12,1/24/2022 8:00,Present on time
Jamal,Vanausdal,1565272,10,1/24/2022 8:00,Present on time
Lavonna,Wolny,332573,11,1/24/2022 8:00,Present on time
Flo,Bookamer,3745485,10,1/24/2022 8:01,Present on time
Detra,Coyier,8646178,9,1/24/2022 8:01,Present on time
Sherell,Despain,1111368,10,1/24/2022 8:01,Present on time
Clorinda,Heimann,6024478,10,1/24/2022 8:01,Present on time
Lavonda,Hengel,6221852,10,1/24/2022 8:01,Present on time
Mozelle,Hermon,4443765,12,1/24/2022 8:01,Present on time
Ettie,Hoopengardner,3362158,11,1/24/2022 8:01,Present on time
Virgie,Kiel,806373,12,1/24/2022 8:01,Present on time
Willard,Kolmetz,3814527,12,1/24/2022 8:01,Present on time
Boris,Latif,4631563,9,1/24/2022 8:01,Present on time
Johna,Magathan,1346611,10,1/24/2022 8:01,Present on time
Herminia,Nicolozakes,6350877,10,1/24/2022 8:01,Present on time
Carol,Normington,4723676,11,1/24/2022 8:01,Present on time
Antione,Onofrio,51323,11,1/24/2022 8:01,Present on time
Demetra,Peth,5765171,10,1/24/2022 8:01,Present on time
Julianna,Racer,336627,11,1/24/2022 8:01,Present on time
Talia,Riopelle,660436,9,1/24/2022 8:01,Present on time
Martina,Staback,567107,12,1/24/2022 8:01,Present on time
Slyvia,Stockham,6043235,10,1/24/2022 8:01,Present on time
Barbra,Adkin,5053664,10,1/24/2022 8:02,Present on time
Ahmed,Angalich,2027823,11,1/24/2022 8:02,Present on time
Paulina,Arand,2726767,11,1/24/2022 8:02,Present on time
Avery,Demus,4675147,10,1/24/2022 8:02,Present on time
Bok,Isaacs,1165642,11,1/24/2022 8:02,Present on time
