StudentID,First,Last,Parent1Phone,Parent2Phone,ParentEmail
1130760,Ressie,Auffrey,305-604-8981,305-287-4743,ressie.auffrey@yahoo.com
7551586,Jaclyn,Bachman,719-853-3600,719-223-2074,jaclyn@aol.com
6121403,Giovanna,Bacho,604-203-8085,604-451-5124,giovanna@cox.net
6045452,Elfriede,Bakeley,506-404-8558,506-956-6048,ebakeley@bakeley.com
1422172,Kris,Bala,905-848-5458,905-860-5785,kris_bala@gmail.com
6110252,Nickie,Balonek,604-556-1080,604-408-3115,nickie.balonek@balonek.com
1817265,Aliza,Baltimore,408-504-3552,408-425-1994,aliza@aol.com
2413567,Stephaine,Barfield,310-774-7643,310-968-1219,stephaine@barfield.com
161147,Glen,Bartolet,206-697-5796,206-389-1482,glen_bartolet@hotmail.com
8555356,Janna,Bastain,604-575-7837,604-519-7671,janna@bastain.com
3473772,Sharmaine,Batdorf,506-839-1630,506-707-6566,sharmaine_batdorf@batdorf.com
2626271,Carissa,Batman,541-326-4074,541-801-5717,carissa.batman@yahoo.com
6631621,Lourdes,Bauswell,613-903-7043,613-638-6682,lourdes_bauswell@aol.com
4244242,Merilyn,Bayless,408-758-5015,408-346-2180,merilyn_bayless@cox.net
5121606,Lakeesha,Beachel,604-352-7502,604-776-5963,lakeesha_beachel@aol.com
1731103,Louvenia,Beech,310-820-2117,310-652-2379,louvenia.beech@beech.com
2712617,Laurena,Begin,519-790-8660,519-942-6403,laurena.begin@begin.com
2067651,Leonor,Beilinson,613-338-5158,613-308-1865,leonor.beilinson@hotmail.com
2752771,Annamae,Beliles,604-877-2244,604-564-4259,abeliles@gmail.com
7030014,Paris,Bellis,519-909-5933,519-291-1819,paris@gmail.com
3764134,Irene,Benauides,506-251-3150,506-991-8808,irene.benauides@gmail.com
7105736,Gaynell,Benavente,807-284-2501,807-395-1502,gaynell@hotmail.com
7726454,Dahlia,Benett,418-344-9993,418-720-5596,dahlia_benett@aol.com
734231,Elvera,Benimadho,408-703-8505,408-440-8447,elvera.benimadho@cox.net
7654760,Kristofer,Bennick,812-368-1511,812-442-8544,kristofer.bennick@yahoo.com
1877243,Heike,Berganza,973-936-5095,973-822-8827,heike@gmail.com
7613787,Alaine,Bergesen,914-300-9193,914-654-1426,alaine_bergesen@cox.net
4536675,Chuck,Berggren,709-534-6576,709-374-6188,chuck@gmail.com
1227544,Bulah,Berkoff,519-309-5863,519-911-6087,bulah.berkoff@cox.net
6172644,Vilma,Berlanga,616-737-3085,616-568-4113,vberlanga@berlanga.com
4365772,Glenn,Berray,515-370-7348,515-372-1738,gberray@gmail.com
8254563,Asuncion,Berson,204-318-1929,204-696-6138,aberson@aol.com
3567164,Ira,Betterton,902-240-7029,902-579-3428,ira.betterton@yahoo.com
6827124,Rima,Bevelacqua,310-858-5079,310-499-4200,rima@cox.net
3371552,Jani,Biddy,206-711-6498,206-395-6284,jbiddy@yahoo.com
326225,Val,Bigaud,514-726-2573,514-233-5869,val_bigaud@aol.com
7618425,Mariann,Bilden,512-223-4791,512-742-1149,mariann.bilden@aol.com
6172574,Valentin,Billa,306-291-5073,306-316-7477,vbilla@yahoo.com
4353663,Verlene,Billow,905-486-5455,905-421-9573,vbillow@billow.com
7571665,Quentin,Birkner,952-702-7993,952-314-5871,qbirkner@aol.com
4032632,Viola,Bitsuie,818-864-4875,818-481-5787,viola@gmail.com
5623681,Alana,Blackmon,416-386-8947,416-983-4604,ablackmon@gmail.com
3717304,Kallie,Blackwood,415-315-2761,415-604-7609,kallie.blackwood@gmail.com
6238256,Sonia,Blan,709-512-6346,709-699-3892,sblan@blan.com
2321373,Frederica,Blunk,214-428-2285,214-529-1949,frederica_blunk@gmail.com
1143261,William,Boccard,514-606-4631,514-570-9479,william@gmail.com
6641154,Judy,Boerboom,709-560-7848,709-591-5287,jboerboom@boerboom.com
1507751,Brock,Bolognia,212-402-9216,212-617-5063,bbolognia@yahoo.com
3124328,Tawny,Bonventre,604-632-4346,604-611-1211,tbonventre@aol.com
3745485,Flo,Bookamer,308-726-2182,308-250-6987,flo.bookamer@cox.net
6571004,Annabelle,Boord,978-697-6263,978-289-7717,annabelle.boord@cox.net
4546776,Keneth,Borgman,602-919-4211,602-442-3092,keneth@yahoo.com
4116180,Alita,Borlace,807-289-5397,807-686-6411,alita_borlace@yahoo.com
4711012,Kristal,Bothe,709-976-5766,709-937-7068,kristal@hotmail.com
1241536,Carlee,Boulter,785-347-1805,785-253-7049,carlee.boulter@hotmail.com
5386535,Sharen,Bourbon,516-816-1541,516-749-3188,sbourbon@yahoo.com
3625453,Emerson,Bowley,608-336-7444,608-658-7940,emerson.bowley@bowley.org
3324350,Raina,Brachle,406-318-1515,406-374-7752,raina.brachle@brachle.org
6867273,Margurite,Brake,519-476-5983,519-248-6055,margurite.brake@yahoo.com
7263762,Tesha,Brang,514-432-5290,514-232-9502,tesha@aol.com
5035235,Gianna,Branin,403-337-7162,403-540-5944,gianna@aol.com
5412527,Wenona,Braseth,450-751-1928,450-619-1328,wenona.braseth@braseth.org
7810166,Trinidad,Bredernitz,514-561-2312,514-780-9059,trinidad@yahoo.com
6615732,Joni,Breland,847-519-5906,847-740-5304,joni_breland@cox.net
2325224,Coral,Brennick,450-480-7421,450-246-6043,coral.brennick@brennick.com
3584562,Hortencia,Bresser,902-256-6791,902-370-8282,hbresser@aol.com
1743174,Jina,Briddick,617-399-5124,617-997-5771,jina_briddick@briddick.com
2460415,Junita,Brideau,973-943-3423,973-582-5469,jbrideau@aol.com
6767344,Nicolette,Brossart,508-837-9230,508-504-6388,nicolette_brossart@brossart.com
3334157,Winfred,Brucato,208-252-4552,208-793-4108,winfred_brucato@hotmail.com
7472151,Danica,Bruschke,254-782-8569,254-205-1422,danica_bruschke@gmail.com
8841710,Maxima,Brzozowski,905-569-6732,905-595-2866,mbrzozowski@aol.com
2252154,Floyd,Bub,416-557-9767,416-988-1063,fbub@bub.com
7176047,Alecia,Bubash,940-276-7922,940-302-3036,alecia@aol.com
4142502,Yan,Bubrig,506-493-4894,506-822-2002,yan@cox.net
5723765,Alease,Buemi,303-301-4946,303-521-9860,alease@buemi.com
6215623,Edmond,Buettner,450-829-7834,450-808-1619,edmond_buettner@buettner.org
3358383,Hershel,Bultron,519-844-4835,519-782-2362,hershel_bultron@bultron.org
6513781,Lauran,Burnard,307-342-7795,307-453-7589,lburnard@burnard.com
3756627,Timothy,Bussert,416-521-5624,416-250-5767,timothy@bussert.com
4463326,James,Butt,504-621-8927,504-845-1427,jbutt@gmail.com
1875437,Rodolfo,Butzen,507-210-3510,507-590-5237,rodolfo@hotmail.com
1262527,Tawna,Buvens,212-674-9610,212-462-9157,tawna@gmail.com
2135224,France,Buzick,718-478-8504,718-853-3740,france.buzick@yahoo.com
8050444,Ronny,Caiafa,215-605-7570,215-511-3531,ronny.caiafa@caiafa.org
377836,Kiley,Caldarera,310-498-5651,310-254-3084,kiley.caldarera@aol.com
6515447,Brandon,Callaro,808-215-6832,808-240-5168,brandon_callaro@hotmail.com
5842044,Raymon,Calvaresi,317-825-4724,317-342-1532,raymon.calvaresi@gmail.com
1833320,Edelmira,Calzado,306-611-7185,306-432-3860,edelmira@hotmail.com
6533517,Roxane,Campain,907-231-4722,907-335-6568,roxane@hotmail.com
5535270,Sarah,Candlish,770-732-1194,770-531-2842,sarah.candlish@gmail.com
5153126,Fletcher,Caneles,905-992-1637,905-974-3091,fcaneles@caneles.com
7407246,Erinn,Canlas,973-767-3008,973-563-9502,erinn.canlas@canlas.com
2558165,Shasta,Canonico,705-531-2796,705-277-5384,shasta_canonico@aol.com
6267616,Galen,Cantres,216-600-6111,216-871-6876,galen@yahoo.com
7221575,Yvette,Capiga,403-919-6456,403-642-8023,yvette.capiga@yahoo.com
8472224,Scarlet,Cartan,229-735-3378,229-365-9658,scarlet.cartan@yahoo.com
8687660,Lashaun,Casteneda,780-751-5370,780-433-1426,lashaun.casteneda@casteneda.com
2062615,Tandra,Castillanos,905-715-9339,905-844-6061,tcastillanos@castillanos.com
5675822,Annmarie,Castros,936-751-7961,936-937-2334,annmarie_castros@gmail.com
5622347,Jarod,Catalina,705-369-2146,705-915-3282,jcatalina@aol.com
5737136,Chanel,Caudy,913-388-2079,913-899-1103,chanel.caudy@caudy.org
8524541,Lisha,Centini,703-235-3937,703-475-7568,lisha@centini.org
2142072,Delsie,Cerao,506-795-5209,506-336-7043,delsie.cerao@cerao.org
4687546,Willetta,Cesa,902-981-7382,902-906-9598,willetta_cesa@gmail.com
7536502,Angella,Cetta,808-892-7943,808-475-2310,angella.cetta@hotmail.com
6403174,Jess,Chaffins,212-510-4633,212-428-9538,jess.chaffins@chaffins.org
3315842,Roslyn,Chavous,601-234-9632,601-973-5754,roslyn.chavous@chavous.org
8446376,Dorothy,Chesterfield,858-617-7834,858-732-1884,dorothy@cox.net
3343074,Marya,Chhour,403-382-4146,403-980-7897,marya@cox.net
8202166,Devorah,Chickering,505-975-8559,505-950-1763,devorah@hotmail.com
4123612,Cortney,Choice,450-339-6016,450-498-1871,cortney.choice@choice.com
5575642,Ocie,Chreene,613-756-9548,613-565-6742,ocie.chreene@aol.com
3853114,Andree,Christmann,519-872-6826,519-648-4096,andree.christmann@cox.net
2375705,Ezekiel,Chui,410-669-1642,410-235-8738,ezekiel@chui.com
2737288,William,Cilento,403-251-6126,403-444-7192,william.cilento@gmail.com
1164426,Mammie,Cisney,514-205-4258,514-841-9635,mammie@cox.net
8711638,Jeanice,Claucherty,305-988-4162,305-306-7834,jeanice.claucherty@yahoo.com
5570734,Buddy,Cloney,440-989-5826,440-327-2093,buddy.cloney@yahoo.com
4075417,Christa,Cloutier,403-461-2407,403-717-1591,ccloutier@hotmail.com
5641312,Aimee,Clozza,613-804-8102,613-832-9403,aimee_clozza@clozza.org
6170541,Brunilda,Coin,506-327-7460,506-881-6523,brunilda_coin@aol.com
6813134,Cecilia,Colaizzo,608-382-4541,608-302-3387,cecilia_colaizzo@colaizzo.com
4458257,Georgiana,Colbath,450-409-1254,450-825-8316,gcolbath@hotmail.com
5346247,Zona,Colla,203-461-1949,203-938-2557,zona@hotmail.com
6318457,Chu,Collopy,819-677-1206,819-899-7304,chu@aol.com
8852561,Daniela,Comnick,609-200-8577,609-398-2805,dcomnick@cox.net
1307140,Maricela,Conger,604-568-1899,604-930-7621,mconger@aol.com
1540223,Eun,Coody,864-256-3620,864-594-4578,eun@yahoo.com
3548277,Carmela,Cookey,773-494-4195,773-297-9391,ccookey@cookey.org
6252582,Candida,Corbley,908-275-8357,908-943-6103,candida_corbley@hotmail.com
1733214,Rosio,Cork,336-243-5659,336-497-4407,rosio.cork@gmail.com
337756,Shaniqua,Corna,416-573-9093,416-693-2920,shaniqua@yahoo.com
2858536,Nathalie,Corners,705-736-4801,705-651-4065,nathalie_corners@corners.org
2273236,Beatriz,Corrington,508-584-4279,508-315-3867,beatriz@yahoo.com
7708510,Ammie,Corrio,614-801-9788,614-648-3265,ammie@corrio.com
7514732,Karina,Cortesi,450-252-9611,450-552-3691,karina_cortesi@hotmail.com
1645134,Willie,Coughlan,819-869-6389,819-816-5427,willie@aol.com
4040207,Shoshana,Courter,519-396-2906,519-248-6688,shoshana@courter.org
8412701,Sylvia,Cousey,410-209-9545,410-863-8263,sylvia_cousey@cousey.org
8646178,Detra,Coyier,410-739-9277,410-259-2118,detra@aol.com
6147281,Lezlie,Craghead,919-533-3762,919-885-2453,lezlie.craghead@craghead.org
347631,Tamera,Crocker,780-833-7024,780-277-9997,tcrocker@cox.net
2726333,Louisa,Cronauer,510-828-7047,510-472-7758,louisa@cronauer.com
230322,Delisa,Crupi,973-354-2040,973-847-9611,delisa.crupi@crupi.com
6661532,Joseph,Cryer,714-584-2237,714-698-2170,joseph_cryer@cox.net
6134336,Shannan,Cupit,416-266-5891,416-311-5786,shannan@cox.net
384473,Bethanie,Cutsforth,519-328-4250,519-260-7499,bethanie_cutsforth@cutsforth.org
5577385,Blythe,Czaplinski,403-775-4053,403-660-6436,blythe_czaplinski@czaplinski.com
8147308,Jerry,Dallen,804-762-9576,804-808-9574,jerry.dallen@yahoo.com
4720231,Thora,Daneker,819-648-4049,819-419-1891,tdaneker@daneker.com
2682613,Josephine,Darakjy,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org
7526250,Lenita,Darbro,250-749-4517,250-607-3667,lenita@yahoo.com
4320173,Cyril,Daufeldt,212-745-8484,212-422-5427,cyril_daufeldt@daufeldt.com
4733773,Thersa,Davirro,250-540-5275,250-359-4646,thersa.davirro@aol.com
8552121,Loise,Dedaj,306-964-9291,306-310-4288,loise@aol.com
2404323,Kenneth,Degennaro,506-763-6456,506-220-8258,kenneth.degennaro@aol.com
4858633,Joesph,Degonia,510-677-9785,510-942-5916,joesph_degonia@degonia.org
235854,Novella,Degroot,808-477-4775,808-746-1865,novella_degroot@degroot.org
3434526,Devon,Delacerda,250-525-4631,250-811-7716,devon@hotmail.com
6314411,Mona,Delasancha,307-403-1488,307-816-7115,mdelasancha@hotmail.com
2138534,Erin,Delbosque,450-316-7813,450-491-8703,erin@cox.net
7708361,Carin,Deleo,501-308-1040,501-409-6072,cdeleo@deleo.com
624425,Herman,Demesa,518-497-2940,518-931-7852,hdemesa@cox.net
4675147,Avery,Demus,604-548-4412,604-855-5368,avery.demus@aol.com
5622610,Haydee,Denooyer,212-792-8658,212-782-3493,hdenooyer@denooyer.org
8753727,Jacinta,Deppen,250-203-5054,250-989-4833,jdeppen@cox.net
716723,Bev,Dermo,604-880-6351,604-342-4113,bev.dermo@dermo.com
1111368,Sherell,Despain,604-344-4458,604-936-4021,sdespain@hotmail.com
6245601,Diane,Devreese,816-557-9673,816-329-5565,diane@cox.net
4852633,Izetta,Dewar,410-473-1708,410-522-7621,idewar@dewar.com
2413650,Barney,Dewer,902-287-1148,902-440-9745,bdewer@gmail.com
6361536,Derick,Dhamer,212-304-4515,212-225-9676,ddhamer@cox.net
3672702,Dominque,Dickerson,510-993-3758,510-901-7640,dominque.dickerson@dickerson.org
7645254,Troy,Dicus,613-938-7999,613-442-6727,troy_dicus@yahoo.com
5676144,Dorcas,Diebold,905-860-8703,905-269-7682,dorcas_diebold@diebold.com
661138,Lonna,Diestel,910-922-3672,910-200-7912,lonna_diestel@gmail.com
1442273,Gussie,Diflorio,613-857-7922,613-785-7152,gussie_diflorio@cox.net
5527847,Bette,Digiovanni,519-882-6434,519-206-1305,bette.digiovanni@digiovanni.org
4217214,Lindsey,Dilello,909-639-9887,909-589-1693,lindsey.dilello@hotmail.com
6738564,Leota,Dilliard,408-752-3500,408-813-1105,leota@hotmail.com
871547,Ivette,Dills,902-244-5318,902-899-7285,idills@cox.net
3614732,Justa,Dini,250-982-9377,250-460-8500,justa.dini@hotmail.com
4462217,Daron,Dinos,847-233-3075,847-265-6609,daron_dinos@cox.net
6226673,Xochitl,Discipio,512-233-1831,512-942-3411,xdiscipio@gmail.com
4645751,Kindra,Dishong,613-510-3295,613-620-3122,kdishong@gmail.com
7875377,Daniel,Dobler,506-617-2607,506-951-8403,ddobler@dobler.com
6226406,Carey,Dopico,317-578-2453,317-441-5848,carey_dopico@dopico.org
4067511,Emile,Dorio,450-529-3773,450-775-4103,edorio@cox.net
1726433,Wynell,Dorshorst,650-473-1262,650-749-9879,wynell_dorshorst@dorshorst.org
3512115,An,Dosal,819-324-8832,819-789-9431,adosal@hotmail.com
4733533,Caren,Doscher,403-344-3614,403-519-4344,cdoscher@doscher.org
41158,Kenneth,Drizin,819-999-6396,819-572-9764,kdrizin@aol.com
5117334,Jennie,Drymon,570-218-4831,570-868-8688,jennie@cox.net
2113782,Pete,Dubaldi,201-825-2514,201-749-8866,pdubaldi@hotmail.com
7613656,Precious,Dubray,705-607-6992,705-628-6331,precious.dubray@dubray.com
7464521,Ilona,Dudash,819-536-7034,819-413-1530,idudash@dudash.com
1724143,Kimberlie,Duenas,785-629-8542,785-616-1685,kimberlie_duenas@yahoo.com
2373784,Titus,Dugre,819-983-1846,819-842-7631,titus.dugre@dugre.org
6056457,Miss,Dunning,306-508-8874,306-844-7974,mdunning@gmail.com
7647732,Sharika,Eanes,407-312-1691,407-472-1332,sharika.eanes@aol.com
3246307,Adela,Echegoyen,604-571-8392,604-693-8094,adela.echegoyen@echegoyen.org
5445,Viola,Eddens,506-772-3108,506-649-5102,veddens@eddens.org
4274720,Hannah,Edmison,604-334-3686,604-692-7694,hannah@yahoo.com
5470364,Denae,Eggers,204-341-2445,204-723-2394,denae_eggers@gmail.com
7371774,Kristel,Ehmann,915-452-1290,915-300-6100,kristel.ehmann@aol.com
1842627,Rutha,Eisert,905-468-2503,905-288-1333,rutha@eisert.com
7112208,Mabel,Elmquist,204-285-3978,204-272-6023,mabel_elmquist@elmquist.com
8080343,Jenifer,Emanuel,250-947-2063,250-845-8934,jemanuel@emanuel.com
6245312,Franklyn,Emard,215-558-8189,215-483-3003,femard@emard.com
420463,Stephen,Emigh,330-537-5358,330-700-2312,stephen_emigh@hotmail.com
1274644,Catina,Emmert,807-652-2563,807-393-4181,catina@gmail.com
1484624,Johnna,Engelberg,425-986-7573,425-700-3751,jengelberg@engelberg.org
4426334,Teri,Ennaco,570-889-5187,570-355-1665,tennaco@gmail.com
370412,Gregg,Epperheimer,514-302-4158,514-293-8889,gepperheimer@aol.com
6252075,Jules,Erichsen,905-929-8054,905-671-9830,jules@cox.net
4420550,Ilene,Eroman,410-914-9018,410-937-4543,ilene.eroman@hotmail.com
6767650,Christiane,Eschberger,602-390-4944,602-330-6894,christiane.eschberger@yahoo.com
1223285,Ming,Eskew,250-228-6798,250-224-3850,ming_eskew@eskew.com
1177373,Roselle,Estell,419-571-5920,419-488-6648,roselle.estell@hotmail.com
5646612,Keith,Evartt,506-229-5393,506-807-4021,kevartt@evartt.com
6164726,Ellen,Fajen,780-720-7927,780-624-5869,ellen.fajen@aol.com
821538,Jennifer,Fallick,847-979-9545,847-800-3054,jfallick@yahoo.com
7246285,Jade,Farrar,803-352-5387,803-975-3405,jade.farrar@yahoo.com
5246211,Arthur,Farrow,201-238-5688,201-772-4377,arthur.farrow@yahoo.com
1784332,Bong,Fears,514-308-1992,514-798-2801,bfears@fears.org
5331577,Truman,Feichtner,973-852-2736,973-473-5108,tfeichtner@yahoo.com
3703564,Twana,Felger,503-939-3153,503-909-7167,twana.felger@felger.org
6542558,Erick,Ferencz,907-741-1044,907-227-6777,erick.ferencz@aol.com
5580276,Natalie,Fern,307-704-8713,307-279-3793,natalie.fern@hotmail.com
2111422,Justine,Ferrario,909-993-3242,909-631-5703,jferrario@hotmail.com
7224623,Bernardo,Figeroa,936-336-3951,936-597-3614,bfigeroa@aol.com
7122572,Skye,Fillingim,612-508-2655,612-664-6304,skye_fillingim@yahoo.com
4452746,Susy,Finstad,403-571-8756,403-470-2657,sfinstad@aol.com
6328462,Chandra,Firlik,905-451-3719,905-979-1749,chandra@gmail.com
2773571,Yoko,Fishburne,203-506-4706,203-840-8634,yoko@fishburne.com
1573561,Marshall,Fitgerald,403-918-5509,403-247-8676,marshall_fitgerald@cox.net
4436077,Essie,Fitzke,506-785-2719,506-849-4017,essie_fitzke@fitzke.org
6325657,Lucia,Flipp,416-870-8070,416-938-6909,lucia@aol.com
4388827,Jesusita,Flister,717-885-9118,717-686-7564,jesusita.flister@hotmail.com
277725,Fletcher,Flosi,815-828-2147,815-426-5657,fletcher.flosi@yahoo.com
7741426,Murray,Fode,514-921-5562,514-750-8459,mfode@yahoo.com
1534844,Donette,Foller,513-570-1893,513-549-4561,donette.foller@cox.net
2171800,Pamella,Fortino,303-404-2210,303-794-1341,pamella@fortino.com
2542630,Maddie,Foulds,514-874-9519,514-545-7912,maddie@hotmail.com
4743576,Mabel,Fower,418-339-7473,418-795-6863,mabel_fower@fower.com
4571581,Rolland,Francescon,973-649-2922,973-284-4048,rolland@cox.net
1256751,Tiera,Frankel,626-636-4117,626-638-4241,tfrankel@aol.com
7000836,Anissa,Frayer,604-925-4225,604-973-3843,afrayer@frayer.com
7581040,Helga,Fredicks,716-752-4114,716-854-9845,helga_fredicks@yahoo.com
7705078,Sommer,Frere,450-777-9643,450-890-4500,sfrere@yahoo.com
7380453,Mireya,Frerking,914-868-5965,914-883-3061,mireya.frerking@hotmail.com
7568732,Theola,Frey,516-948-5768,516-357-3362,theola_frey@frey.com
4362185,Ailene,Friedman,506-907-7068,506-631-8304,ailene@yahoo.com
6160373,Lasandra,Frisinger,604-210-7413,604-366-8983,lfrisinger@cox.net
3646754,An,Fritz,609-228-5265,609-854-7156,an_fritz@hotmail.com
6073772,Effie,Frymark,519-433-4142,519-589-2250,effie_frymark@gmail.com
4151320,Lyla,Fucillo,902-844-1174,902-727-6846,lyla_fucillo@cox.net
8042533,Izetta,Funnell,770-844-3447,770-584-4119,izetta.funnell@hotmail.com
7454610,Janey,Gabisi,608-967-7194,608-586-6912,jgabisi@hotmail.com
7781762,Britt,Galam,215-888-3304,215-351-8523,britt@galam.org
5832511,Marla,Gallati,514-872-9323,514-803-7622,mgallati@gmail.com
4575613,Stephanie,Garlett,613-557-7338,613-998-1215,stephanie.garlett@gmail.com
8362111,Meaghan,Garufi,931-313-9635,931-235-7959,meaghan@hotmail.com
2651822,Lai,Gato,847-728-7286,847-957-4614,lai.gato@gato.org
4466377,Eric,Gazzola,418-274-7373,418-389-1370,eric@cox.net
8424253,Merri,Geberth,204-894-9221,204-710-5400,merri.geberth@geberth.com
427773,Aja,Gehrett,973-544-2677,973-986-4456,aja_gehrett@hotmail.com
4811677,Brandon,Geigel,604-940-9313,604-894-9406,bgeigel@gmail.com
6378751,Joaquin,Geitner,403-640-8755,403-999-6332,joaquin_geitner@cox.net
8151614,Gearldine,Gellinger,972-934-6914,972-821-7118,gearldine_gellinger@gellinger.com
2028773,Herschel,Geneseo,416-786-7887,416-325-4082,herschel@geneseo.com
8117331,Micah,Gerten,709-581-5842,709-472-4405,micah@cox.net
5156147,Rebecka,Gesick,512-213-8574,512-693-8345,rgesick@gesick.org
4232820,Cory,Gibes,626-572-1096,626-696-2777,cory.gibes@gmail.com
6241721,Yesenia,Giglio,506-858-9797,506-709-4563,yesenia@cox.net
4335574,Wilda,Giguere,907-870-5536,907-914-9482,wilda@cox.net
2772578,Brittni,Gillaspie,208-709-1235,208-206-9848,bgillaspie@gillaspie.com
3557812,Adria,Gilliam,905-563-9396,905-791-6993,adria_gilliam@cox.net
8361764,Valentine,Gillian,210-812-9597,210-300-6244,valentine_gillian@gmail.com
2708665,Catarina,Gleich,973-210-3994,973-491-8723,catarina_gleich@hotmail.com
2403324,Albina,Glick,732-924-7882,732-782-6701,albina@glick.com
4435537,Leonida,Gobern,228-235-5615,228-432-4635,leonida@gobern.org
4065153,Freeman,Gochal,610-476-3501,610-752-2683,freeman_gochal@aol.com
7627000,Mable,Goerke,416-867-5879,416-871-4317,mable_goerke@cox.net
5731113,Cyndy,Goldammer,952-334-9408,952-938-9457,cgoldammer@cox.net
1860118,Casie,Good,615-390-2251,615-825-4297,casie.good@aol.com
5666165,Nieves,Gotter,503-527-5274,503-455-3094,nieves_gotter@gmail.com
4262763,Rene,Granier,403-438-9257,403-894-8420,rene@cox.net
8725277,Shonda,Greenbush,973-482-2430,973-644-2974,shonda_greenbush@cox.net
680325,Yasuko,Greeves,250-891-6910,250-302-7554,ygreeves@cox.net
8414244,Kenneth,Grenet,517-499-2322,517-867-8077,kenneth.grenet@grenet.org
8704814,Loreen,Griepentrog,613-684-4467,613-959-2224,loreen_griepentrog@aol.com
4638441,Suzi,Groom,604-700-2946,604-811-1777,suzi.groom@groom.org
3674156,Carman,Gudiel,709-366-8943,709-882-9189,carman@gmail.com
5863218,Larae,Gudroe,985-890-7262,985-261-5783,larae_gudroe@gmail.com
2166515,Michal,Gunyan,418-399-6819,418-652-4085,michal_gunyan@gunyan.com
170118,Elouise,Gwalthney,301-841-5012,301-591-3034,egwalthney@yahoo.com
5735664,Gearldine,Haberle,403-810-3712,403-242-6060,gearldine_haberle@hotmail.com
2376143,Leatha,Hagele,214-339-1809,214-225-5850,lhagele@cox.net
8822140,Barney,Hagen,450-526-5424,450-755-7626,barney@yahoo.com
5352563,Jillian,Hailstone,905-864-2257,905-995-7113,jhailstone@yahoo.com
4437787,Mila,Hair,514-945-2978,514-363-9034,mhair@cox.net
1820332,Elena,Hairr,709-399-4807,709-427-8386,ehairr@hotmail.com
6366561,Nobuko,Halsey,508-855-9887,508-897-7916,nobuko.halsey@yahoo.com
315465,Helaine,Halter,201-832-4168,201-412-3040,hhalter@yahoo.com
2726775,Charlene,Hamilton,707-300-1771,707-821-8037,charlene.hamilton@hotmail.com
